url,lat,long,restaurant,grocery,cafe,park,school,hospital,parking
https://www.realtor.com/realestateandhomes-detail/M9225532172?listing_status=rental,47.620449,-122.315918,20,4,20,20,20,4,20
https://www.realtor.com/realestateandhomes-detail/M1943212016?listing_status=rental,47.670442,-122.315962,20,3,20,18,20,2,20
https://www.realtor.com/realestateandhomes-detail/M2081383981?listing_status=rental,47.527616,-122.264149,20,1,7,7,7,0,0
https://www.realtor.com/realestateandhomes-detail/M1624366874?listing_status=rental,47.69877,-122.341144,19,2,4,12,20,2,7
https://www.realtor.com/realestateandhomes-detail/M9433709134?listing_status=rental,47.627213,-122.326469,20,0,20,20,9,4,20
https://www.realtor.com/realestateandhomes-detail/M9800967072?listing_status=rental,47.609661,-122.303001,20,6,18,20,20,17,20
https://www.realtor.com/realestateandhomes-detail/M9114786244?listing_status=rental,47.65992,-122.349503,20,1,18,18,20,1,14
https://www.realtor.com/realestateandhomes-detail/M9248834954?listing_status=rental,,,0,0,0,0,0,0,0
https://www.realtor.com/realestateandhomes-detail/M9660118330?listing_status=rental,,,0,0,0,0,0,0,0
https://www.realtor.com/realestateandhomes-detail/M9988521264?listing_status=rental,47.649837,-122.321815,20,0,16,20,19,6,20
https://www.realtor.com/realestateandhomes-detail/M9456793623?listing_status=rental,47.720989,-122.312225,19,1,3,8,18,0,1
https://www.realtor.com/realestateandhomes-detail/M2357150733?listing_status=rental,47.671704,-122.317713,20,2,20,16,20,2,17
https://www.realtor.com/realestateandhomes-detail/M9887778439?listing_status=rental,47.698466,-122.340648,19,2,4,11,20,2,7
https://www.realtor.com/realestateandhomes-detail/M1025559336?listing_status=rental,47.596515,-122.309218,20,6,15,20,20,1,14
https://www.realtor.com/realestateandhomes-detail/M9863684312?listing_status=rental,47.639347,-122.3731,15,2,1,8,12,0,8
https://www.realtor.com/realestateandhomes-detail/M1128052754?listing_status=rental,47.531192,-122.383819,4,0,2,6,5,0,1
https://www.realtor.com/realestateandhomes-detail/M2557396108?listing_status=rental,47.717834,-122.298294,20,1,3,10,18,0,2
https://www.realtor.com/realestateandhomes-detail/M1089842107?listing_status=rental,47.613173,-122.328203,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2127432427?listing_status=rental,47.618197,-122.327107,20,4,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9939430419?listing_status=rental,47.615219,-122.351044,20,3,20,20,10,4,20
https://www.realtor.com/realestateandhomes-detail/M1877770451?listing_status=rental,47.52311,-122.360873,20,2,9,9,17,2,4
https://www.realtor.com/realestateandhomes-detail/M1180194288?listing_status=rental,47.697303,-122.304565,6,0,0,5,11,0,2
https://www.realtor.com/realestateandhomes-detail/M1113586076?listing_status=rental,47.614461,-122.312162,20,6,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M1116341983?listing_status=rental,47.615469,-122.315738,20,5,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9523148930?listing_status=rental,47.663822,-122.312286,20,3,20,20,20,7,20
https://www.realtor.com/realestateandhomes-detail/M9337911703?listing_status=rental,47.66724,-122.279839,13,0,5,7,10,4,10
https://www.realtor.com/realestateandhomes-detail/M2639345415?listing_status=rental,47.544073,-122.382248,13,1,5,20,17,0,0
https://www.realtor.com/realestateandhomes-detail/M1297881845?listing_status=rental,47.624911,-122.330455,20,1,20,20,9,5,20
https://www.realtor.com/realestateandhomes-detail/M1391291851?listing_status=rental,47.626036,-122.327606,20,0,20,20,10,4,20
https://www.realtor.com/realestateandhomes-detail/M9423521024?listing_status=rental,47.672098,-122.354748,20,0,11,20,17,0,6
https://www.realtor.com/realestateandhomes-detail/M9216318099?listing_status=rental,47.639294,-122.327454,20,2,6,20,16,2,20
https://www.realtor.com/realestateandhomes-detail/M1711079890?listing_status=rental,47.620687,-122.357117,20,2,20,20,10,4,20
https://www.realtor.com/realestateandhomes-detail/M9301944544?listing_status=rental,47.620434,-122.357124,20,2,20,20,10,4,20
https://www.realtor.com/realestateandhomes-detail/M9954034200?listing_status=rental,47.507626,-122.303574,1,0,2,5,0,0,2
https://www.realtor.com/realestateandhomes-detail/M1252955138?listing_status=rental,47.605106,-122.326967,20,11,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2096298458?listing_status=rental,47.63101,-122.357083,20,3,20,20,20,1,20
https://www.realtor.com/realestateandhomes-detail/M1654212062?listing_status=rental,47.604779,-122.318483,20,9,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M9506204439?listing_status=rental,47.484825,-122.228996,11,1,4,3,4,1,3
https://www.realtor.com/realestateandhomes-detail/M1118301395?listing_status=rental,47.621521,-122.355802,20,2,20,20,12,4,20
https://www.realtor.com/realestateandhomes-detail/M1662659296?listing_status=rental,47.653308,-122.354807,20,2,20,15,20,4,20
https://www.realtor.com/realestateandhomes-detail/M2826231488?listing_status=rental,47.523227,-122.331026,2,0,3,12,2,0,1
https://www.realtor.com/realestateandhomes-detail/M2655854348?listing_status=rental,47.620146,-122.322826,20,3,20,20,20,8,20
https://www.realtor.com/realestateandhomes-detail/M1124685763?listing_status=rental,47.636376,-122.357344,20,3,10,20,20,0,2
https://www.realtor.com/realestateandhomes-detail/M2078790222?listing_status=rental,47.521665,-122.362496,20,2,13,8,17,2,4
https://www.realtor.com/realestateandhomes-detail/M1715264805?listing_status=rental,47.703595,-122.342364,20,1,7,13,18,4,3
https://www.realtor.com/realestateandhomes-detail/M9990950374?listing_status=rental,47.638039,-122.343887,20,2,6,18,20,4,15
https://www.realtor.com/realestateandhomes-detail/M2988070995?listing_status=rental,47.67293,-122.31769,20,3,20,19,20,3,15
https://www.realtor.com/realestateandhomes-detail/M1188540973?listing_status=rental,47.587936,-122.318202,20,2,4,17,9,1,20
https://www.realtor.com/realestateandhomes-detail/M1840243647?listing_status=rental,47.610173,-122.338653,20,7,20,20,20,20,20
https://www.realtor.com/realestateandhomes-detail/M2234143193?listing_status=rental,47.460887,-122.363498,1,0,2,0,4,0,0
